sheet,index_no,status,note
31.05.2019.jpeg,10000409,PRESENT,
31.05.2019.jpeg,10009301,PRESENT,black pen; mark sits at the far right of the cell and overruns the table border
31.05.2019.jpeg,10009302,PRESENT,
31.05.2019.jpeg,10009303,PRESENT,
31.05.2019.jpeg,10009304,PRESENT,
31.05.2019.jpeg,10009306,PRESENT,
21.06.2019.jpeg,10000409,PRESENT,
21.06.2019.jpeg,10009301,PRESENT,
21.06.2019.jpeg,10009302,PRESENT,
21.06.2019.jpeg,10009303,PRESENT,
21.06.2019.jpeg,10009304,PRESENT,
21.06.2019.jpeg,10009306,PRESENT,"cell contains the hand-written annotation ""ab""; ink IS present, see the report's discussion of semantic versus pixel evidence"
28.06.2019.jpeg,10000409,PRESENT,
28.06.2019.jpeg,10009301,ABSENT,
28.06.2019.jpeg,10009302,ABSENT,
28.06.2019.jpeg,10009303,PRESENT,
28.06.2019.jpeg,10009304,PRESENT,
28.06.2019.jpeg,10009306,PRESENT,
05.07.2019.jpeg,10000409,PRESENT,
05.07.2019.jpeg,10009301,ABSENT,
05.07.2019.jpeg,10009302,PRESENT,upstroke crosses into the row above
05.07.2019.jpeg,10009303,ABSENT,a faint red stray mark is present but is not a signature
05.07.2019.jpeg,10009304,PRESENT,
05.07.2019.jpeg,10009306,PRESENT,
12.07.2019.jpeg,10000409,PRESENT,
12.07.2019.jpeg,10009301,PRESENT,
12.07.2019.jpeg,10009302,PRESENT,
12.07.2019.jpeg,10009303,PRESENT,
12.07.2019.jpeg,10009304,PRESENT,signature tangles with the row below
12.07.2019.jpeg,10009306,PRESENT,
